title,price,artwork_detail,edition_detail,dimensions,,,,,,,
For The Love of God - Four Views, å£2--250.00, Silkscreen with Glazes and Diamond Dust , Signed Limited Edition of 1000, 49cm X 58.5cm,,,,,,,
Game Over- Pink & Blue , å£750.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, Unique, Signed Edition of 10 (Signed &amp; Numbered Verso), 63cm x 23cm,,,,,,
X-ray Specs, å£1--750.00, 2-Layer Silkscreen Printed Mirror in Gloss Wooden X-ray Specs Frames, Signed Limited Edition of 5, 116cm x 45cm,,,,,,,
Natural Highs I , å£200.00, Silkscreen, Signed Limited Edition of 50, 59.5cm x 48.5cm,,,,,,,
M is for Marilyn, å£2--000.00, Silkscreen, Signed Limited Edition of 95, ,,,,,,,
Kate Moss, SOLD, Screenprint, Artists Proof ‰ÛÒ Original Colourway 2005, Signed, 77cm x 77cm (Framed),,,,,,
Align (Hand Finished), å£350.00, Silkscreen Hand Finished with Acrylic Paint, Signed Limited Edition of 20, 56cm x 76cm,,,,,,,
Everything is Possible, å£3--000.00, Neon and Perspex, Signed Limited Edition of 5, 75cm x 75cm,,,,,,,
Eternal Rest-- Butterfly Portrait, å£2--700.00, Etching, Signed and Numbered, Limited Edition of 45, 39.2cm x 47.3cm,,,,,,
Game Over- Red on White , å£750.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, Unique, Signed Edition of 10 (Signed &amp; Numbered Verso), 63cm x 23cm,,,,,,
Thank You For Smoking, SOLD, A Single Cabinet of Felt Cigarette Packets Made Up of Felt, Acrylic and Thread, Limited Edition of 50, Complete with Signed CertificateåÊof Authenticity, 77cm x 60cm x 12cm,,,,,
Banana Unzipped (Blue), SOLD, Acrylic, Sewn-In Zips, Diamond Dust , Signed Limited Edition of 3, 39cm x 50cm,,,,,
Boy - Flock , å£230.00, Silkscreen, Signed Limited Edition of 40, 56cm x 76cm ,,,,,,,
Stop and Search, SOLD, Silkscreen, Signed Limited Edition of 500, 76.5cm x 67.5cm,,,,,,,
N is for Nude, å£1--800.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Lost Souls I, å£475.00, Silkscreen, Signed Limited Edition of 100, 50.1cm x 51.8cm,,,,,,,
Tangled Up in You, å£3--200.00, Concrete and Neon , Signed Limited Edition of 5, 50cm x 40cm,,,,,,,
Bury My Heart At Wounded Knee, å£2--650.00, A Single Cabinet of Felt Medicines Made Up of Felt, Acrylic and Thread, Limited Edition of 50, Complete with Signed CertificateåÊof Authenticity, 77cm x 60cm x 12cm,,,,,
Game On!- Super 2 Player Mode, å£4--500.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, Unique, Signed &amp; Numbered 1/1 Verso, 93cm x 123cm,,,,,,
Banana Unzipped (Purple), SOLD, Acrylic, Sewn-In Zips, Diamond Dust , Signed Limited Edition of 3, 39cm x 50cm,,,,,
Sudafed PE , å£12--000.00, Polyurethane Resin With Ink Pigment, Signed and Dated, Limited Edition of 30, 30cm x 13cm,,,,,,
Lost Souls II, å£475.00, Silkscreen, Signed Limited Edition of 100, 50.1cm x 51.8cm,,,,,,,
O is for Ornythology, å£1--800.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Meadow Grasshopper, å£500.00, Hand Printed Etching on Handmade Paper, Signed Limited Edition of 6, 30cm x 40cm,,,,,,,
Choose Your Weapon ( Magenta), SOLD, Screenprint, Signed Limited Edition of 25, 68.6cm x 68.6cm,,,,,,,
White Butterflies, SOLD, Neon in Victorian Bell Jar, Signed Limited Edition of 1, 26cm x 51cm,,,,,,,
Of Leeches and Chloroform, å£2--650.00, A Single Cabinet of Felt Medicines Made Up of Felt, Acrylic and Thread, Limited Edition of 50, Complete with Signed CertificateåÊof Authenticity, 77cm x 60cm x 12cm,,,,,
Pre- Programmed Part 1, å£3--800.00, Spray Paint on 3 Layers of Glass with Lego Bricks on Aluminium Background in Custom Painted Frame, Unique, Signed &amp; Numbered 1/1 Verso, 93cm x 93cm,,,,,,
Banana Unzipped (Yellow), å£400.00, Acrylic, Sewn-In Zips, Diamond Dust , Signed Limited Edition of 3, 39cm x 50cm,,,,,
Gangsta Rat, SOLD, Silkscreen, Limited Edition of 350, 35cm x 50cm,,,,,,,
The Marriage, å£2--250.00, Silkscreen with Gold Leaf, Signed Limited Edition of 50, 78cm x 86cm,,,,,,,
Q is for Quarters, å£1--200.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Atrocity, å£99.00, Giclee , Signed Limited Edition of 21, 27cm x 42cm ,,,,,,,
Bee, å£500.00, Hand Printed Etching on Handmade Paper, Signed Limited Edition of 6, 30cm x 40cm,,,,,,,
Kiss, å£1--800.00, Neon and Perspex, Signed Limited Edition of 5, 95cm x 56cm,,,,,,,
Curare, å£3--600.00, Woodcut, Limited Edition of 55, 45.7cm x 45.7cm,,,,,,,
Pre- Programmed Part 2, å£3--800.00, Spray Paint on 3 Layers of Glass with Lego Bricks on Aluminium Background in Custom Painted Frame, Unique, Signed &amp; Numbered 1/1 Verso, 93cm x 93cm,,,,,,
Banana Unzipped (Green), å£400.00, Acrylic, Sewn-In Zips, Diamond Dust , Signed Limited Edition of 3, 39cm x 50cm,,,,,
Love Rat, SOLD, Silkscreen, Limited Edition of 600, 35cm x 50cm,,,,,,,
Faith Less, å£1--300.00, Silkscreen with Diamond Dust, Signed Limited Edition of 100, 90cm x 108cm,,,,,,,
S is for Sumo, å£1--800.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Cocaine Nights, å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm ,,,,,,,
Wren, å£500.00, Hand Printed Etching on Handmade Paper, Signed Limited Edition of 6, 30cm x 40cm,,,,,,,
Cool, å£950.00, Painted Wood Frame, Gold Leaf on Acrylic Relief and Silkscreen Printed Glass, Signed Limited Edition of 10, 44cm diameter,,,,,,
His 'n' Hers, å£7--500.00, Pair of Cabinets of Felt His N Hers Items Made Up of Felt, Acrylic and Thread, Limited Edition of 50, Complete with Signed CertificateåÊof Authenticity, 77cm x 60cm x 12cm,,,,,
Lips, å£1--800.00, Neon and Perspex, Signed Limited Edition of 5, 92cm x 51cm,,,,,,,
Hell 2012, å£6--000.00, Giclee Print, Limited Edition of 55, 61.5cm x 71cm,,,,,,,
No Ball Games (grey), SOLD, Silkscreen on Paper, Signed Limited Edition of 250 (framed), 82cm x 79cm,,,,,,,
Break Out- Red-- Orange-- Pink and Blue, å£2--000.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, SignedåÊEdition of 3 (SignedåÊ&amp; Numbered Verso), 63cm x 83cm,,,,,,,
This is The Big City Baby, å£1--200.00, Silkscreen with Gold Leaf Signed , Limited Edition of 100, 95cm x 56cm,,,,,,,
T is for The Beatles, å£3--500.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Concrete Island, å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
Mashed, å£950.00, Painted Wood Frame, Gold Leaf on Acrylic Relief and Silkscreen Printed Glass, Signed Limited Edition of 10, 44cm diameter,,,,,,
Deeply, å£2--400.00, Neon and Perspex, Signed Limited Edition of 5, 86cm x 79cm,,,,,,,
Gold Tears 2012 , å£7--800.00, Giclee with UV Varnish and Foilblock , Signed Limited Edition of 55, 86.5cm X 71cm,,,,,,,
Break Out- Rust & Blue, å£2--000.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, SignedåÊEdition of 3 (SignedåÊ&amp; Numbered Verso), 63cm x 83cm,,,,,,,
Love Is In The Air, SOLD, Silkscreen on Paper,  Limited Edition of 300 (framed), 86cm x 67cm,,,,,,,
TV Eyes Happy Happy- Diptych, å£2--500.00, Silkscreen with Gold Leaf Signed , Limited Edition of 100, 102cm x 97cm,,,,,,,
U if for Unusual People, å£1--800.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Crash, å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
Wink, å£950.00, Painted Wood Frame, Gold Leaf on Acrylic Relief and Silkscreen Printed Glass, Signed Limited Edition of 20, 44cm diameter,,,,,,
Beautiful, å£3--000.00, Neon and Perspex, Signed Limited Edition of 5, 85cm x 85cm,,,,,,,
Black Heaven- Nite Time, å£7--800.00, Giclee Print, Limited Edition of 55, 72.5cm x 71cm,,,,,,,
Because I'm Worthless, SOLD, Silkscreen on Paper, Limited Edition of 175 (framed), 50cm x 65cm,,,,,,,
Break Out- Orange & Yellow, å£2--000.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, SignedåÊEdition of 3 (SignedåÊ&amp; Numbered Verso), 63cm x 83cm,,,,,,,
The Flood, å£990.00, Silkscreen Print With Glazes, Limited Edition of 10, 89cm x 106cm,,,,,,,
V is for Valentine, å£1--800.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Crystal World, å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
Dollar, å£950.00, Painted Wood Frame, Gold Leaf on Acrylic Relief and Silkscreen Printed Acrylic, Signed Limited Edition of 9, 44cm x 40cm,,,,,,
Sometimes it‰Ûªs a Yes (Red), SOLD, Light Box, Signed Original Set of 5, 25cm x 70cm,,,,,,,
Continue? Multi-Colour, å£750.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, Unique, Signed Edition of 10 (Signed &amp; Numbered Verso), 63cm x 23cm,,,,,,
For The Love of God 2012 , å£2--636.00, Lenticular on Acrylic , Signed Limited Edition of 5000, 43.5cm x 63.5cm (Framed),,,,,,,
Tantrum Confession, å£1--250.00, Silkscreen with Gold/Silver Leaf and Diamond Dust , Signed Limited Edition of 100, 84cm x 83cm,,,,,,,
W is for Wrestler, å£1--800.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Day of Creation, å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
Egg, å£3--900.00, Painted Wood Frame, Gold Leaf on Acrylic Relief and Silkscreen Printed Glass, Signed Limited Edition of 3, 118cm x 101cm,,,,,,
Twin Hearts, å£700.00, Neon in Light Box, Signed Limited Edition of 20, 28cm x 22cm,,,,,,,
Mescaline Lenticular, å£13--500.00, Digital Lenticular Printing on PETG Plastic- Framed UV Glass, Signed in White Crayon, Limited Edition of 100, 57cm x 57cm,,,,,,
Continue? White on Blue, å£750.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, Unique, Signed Edition of 10 (Signed &amp; Numbered Verso), 63cm x 23cm,,,,,,
X is for Xylophonist, å£1--800.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Drought , å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
Heart Eyes, å£950.00, Painted Wood Frame, Gold Leaf on Acrylic Relief and Silkscreen Printed Glass, Signed Limited Edition of 20, 44cm diameter,,,,,,
The Cross, å£700.00, Neon in Light Box, Signed Limited Edition of 20, 28cm x 22cm,,,,,,,
Game On! 1, å£1--800.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, SignedåÊEdition of 3, Unique ColourwaysåÊ(SignedåÊ&amp; Numbered Verso), 53cm x 73cm,,,,,,
Y is for Yacht , å£1--800.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Drowned World, å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
The Cure - Atomic Tangerine/Cornflower Blue/Ice Blue, å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
Blowing Kiss, å£950.00, Painted Wood Frame, Gold Leaf on Acrylic Relief and Silkscreen Printed Glass, Signed Limited Edition of 20, 44cm x 50cm,,,,,,
Red Hearts, å£700.00, Neon in Light Box, Signed Limited Edition of 20, 28cm x 22cm,,,,,,,
Game On! 2, å£1--800.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, SignedåÊEdition of 3, Unique ColourwaysåÊ(SignedåÊ&amp; Numbered Verso), 53cm x 73cm,,,,,,
Z is for Zebra, å£1--800.00, Silkscreen, Signed Limited Edition of 95, 78cm X 102cm,,,,,,,
Empire of The Sun, å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
The Cure - Bright Orange/Orchid/Air Force Blue, å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
Dropper , å£950.00, Metal Frame, Gold Leaf on Acrylic Relief, Silkscreen Printed Glass and Glitter, Signed Limited Edition of 5, 44cm x 44cm ,,,,,
Pearl Lips, å£700.00, Neon in Light Box, Signed Limited Edition of 20, 28cm x 22cm,,,,,,,
Ron, å£300.00, Giclee Print, Signed Limited Edition Print of 150, 21cm x 28.4cm,,,,,,,
Earth - The Four Elements for Change Print, å£295.00, 3 Layered Silkscreen on Paper, Signed Limited Edition of 25, 80cm x 80cm,,,,,,,
Game On! 3, SOLD, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, SignedåÊEdition of 3, Unique ColourwaysåÊ(SignedåÊ&amp; Numbered Verso), 53cm x 73cm,,,,,,
Hello America, å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
The Cure - Battleship Grey/Fizzy Orange/Berry, å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
Turd, å£950.00, Wood Frame, Silkscreen Printed Acrylic and Glitter, Signed Limited Edition of 9, 46cm x 45cm,,,,,,
Seven, å£700.00, Neon in Light Box, Signed Limited Edition of 20, 28cm x 22cm,,,,,,,
Percy, å£300.00, Giclee Print, Signed Limited Edition of 150, 21cm x 28.4cm,,,,,,,
Air - The Four Elements for Change Print, å£295.00, 3 Layered Silkscreen on Paper, Signed Limited Edition of 25, 80cm x 80cm,,,,,,,
Game On! 4, å£1--800.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, SignedåÊEdition of 3, Unique ColourwaysåÊ(SignedåÊ&amp; Numbered Verso), 53cm x 73cm,,,,,,
High Rise , å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
The Cure - Powder Pink/Lollypop Red/Golden Yellow, å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
Pixel Pill , å£3--500.00, Painted Wood Frame, Gold Leaf on Acrylic Relief and Silkscreen Printed Glass, Signed Limited Edition of 5, 118cm x 101cm,,,,,,
Doris, å£300.00, Giclee Print, Signed Limited Edition of 150, 21cm x 28.4cm,,,,,,,
Fire - The Four Elements for Change Print, å£295.00, 3 Layered Silkscreen on Paper, Signed Limited Edition of 25, 80cm x 80cm,,,,,,,
Game On! 5, å£1--800.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, SignedåÊEdition of 3, Unique ColourwaysåÊ(SignedåÊ&amp; Numbered Verso), 53cm x 73cm,,,,,,
Kindness of Women, å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
The Cure -  Vivid Blue/Cloudy Pink/Candy Floss Pink, å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
Optical Disturbance, å£2--500.00, High Density Board, Cast Resin Faces With Spray Paint, Signed Limited Edition of 3, 49cm x 49cm,,,,,,
Max, å£300.00, Giclee Print, Signed Limited Edition of 150, 21cm x 28.4cm,,,,,,,
Water - The Four Elements for Change Print, å£295.00, 3 Layered Silkscreen on Paper, Signed Limited Edition of 25, 80 x 80cm,,,,,,,
Game On! 6, å£1--800.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, SignedåÊEdition of 3, Unique ColourwaysåÊ(SignedåÊ&amp; Numbered Verso), 53cm x 73cm,,,,,,
Kingdom Come, å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
The Cure - Violet/Electric Red/Powder Blue, å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
Emily, å£300.00, Giclee Print, Signed Limited Edition of 150, 21cm x 28.4cm,,,,,,,
Game On! 7, å£1--800.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, SignedåÊEdition of 3, Unique ColourwaysåÊ(SignedåÊ&amp; Numbered Verso), 53cm x 73cm,,,,,,
Millenium People, å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
The Cure - Sunflower Yellow/Merlot/Sapphire, å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
Dan, å£300.00, Giclee Print, Signed Limited Edition of 150, 21cm x 28.4cm,,,,,,,
Game Over 8, å£1--800.00, Spray Paint on 3 Layers of Glass and Aluminium in Custom Painted Frame, SignedåÊEdition of 3, Unique ColourwaysåÊ(SignedåÊ&amp; Numbered Verso), 53cm x 73cm,,,,,,
Miracles of Life , å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
The Cure - Deep Sky Blue/Electric Purple/Lipstick Red, å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
Love is the drug IV, å£180.00, 27 Colour Silkscreen Print With 23ct Gold Leaf, Signed Limited Edition of 69, 50cm x 102.5cm,,,,,,,
Gloria, å£300.00, Giclee Print, Signed Limited Edition of 150, 21cm x 28.4cm,,,,,,,
Graffiti Hearts, å£2--500.00, Stencil, Spray Paint and Silkscreen on Layered Glass, Perspex and Aluminium, Signed Limited Edition of 3, 63cm x 63cm,,,,,
Running Wild, å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
The Cure - Carnation Pink/Hot Pink/Violet Pink, å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
Betty, å£300.00, Giclee Print, Signed Limited Edition of 150, 21cm x 28.4cm,,,,,,,
Rushing to Paradise, å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
The Cure - Bubblegum Pink/Payne‰Ûªs Grey/Iceberg Blu  , å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
Grace, POA, Giclee Print, Signed Limited Edition of 150, 21cm x 28.4cm,,,,,,,
Quintefuckinssential, å£950.00, Resin, Wood, Screenprinted Glass &amp; Gold Leaf, Signed Limited Edition of 16, 102cm x 19cm,,,,,
Short Stories Vol 1, å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
The Cure - Peach Cream/Ultramarine/Lust , å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
Lex, å£300.00, Giclee Print, Signed Limited Edition of 150, 21cm x 28.4cm,,,,,,,
Short Stories Vol 2, å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
The Cure - Iris Blue/Chalk Green/Charm Pink  , å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
The Junkyard Dog, å£895.00, Silkscreen Print, Signed Limited Edition of 75, 39cm x 52.6cm,,,,,,,
Capulets Orchard Part 1, å£350.00, Giclee Print, on 300gsm Somerset Satin paper Screen printed clear varnish over colour blocks, 62cm x 62cm,,,,,,,
Super Cannes, å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
The Cure - Emerald Green/Powder Pink/Victorian Purple, å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
Tiny Tina the Tattooed Lady, å£1--975.00, Giclee Print, Limited Edition of 100, 47cm x 95cm,,,,,,,
Capulets Orchard Part 2, SOLD, Giclee Print, on 300gsm Somerset Satin paper Screen printed clear varnish over colour blocks, 62cm x 62cm,,,,,,,
Unlimited Dream Company, å£99.00, Giclee, Signed Limited Edition of 21, 27cm x 42cm,,,,,,,
The Cure -  Steel Blue/Acid Green/Apple Green  , å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
Ms Ebony Madonna , å£895.00, Silkscreen Print, Signed Limited Edition of 75, 39cm x 52.6cm,,,,,,,
Hollywood Limousine , SOLD, Silkscreen , Signed Limited Edition of 199, 91cm x 56cm,,,,,,,
My Favourite Part, å£75.00, Giclee print, Signed Limited Edition of 150, 21cm x 29.7cm,,,,,,,
The Cure - Chocolate/Emerald Green/Lime Green , å£4--200.00, Silkscreen , Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
Thor The Enforcer, å£895.00,  Silkscreen Print, Signed Limited Edition of 75, 39cm x 52.6cm,,,,,,,
Apocalypse 101 , å£750.00, Silkscreen , Signed Limited Edition of 50, 112cm x 76cm,,,,,,,
The Cure - Ice Pink/Mauve/Raspberry , å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
Lord Mayor's Show 800 Years 1215-2015, å£495.00, Silkscreen Print, Limited Edition of 800, 69.9cm x 91.3cm,,,,,,,
LA Exit , å£266.00, Silkscreen , Signed Limited Edition of 199, 62.5cm x 46.5cm,,,,,,,
Beethoven 2016, å£345.00, Giclee Print with Screen Printed Gloss Varnish, Signed Limited Edition of 33, 70cm x 87cm,,,,,,,
The Cure - Mint Green/Desire/Orchid Pink , å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
Eiffel Tower 2015, å£10--850.00, 3D Lenticular, Signed Limited Edition of 10, 106 x 151.5,,,,,,,
The Cure - Sienna Red/Tangerine/Light Tangerine , å£4--200.00, Silkscreen , Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
75 Years of The Beano, å£2--500.00, Silkscreen, Signed Limited Edition of 175, 89.8cm x 71.6cm,,,,,,,
The Cure - Papal Purple/Burgundy/Blood Orange , å£4--200.00, Silkscreen , Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
USA Series - James Dean , å£2--200.00, Silkscreen with Diamond Dust, Signed Limited Edition of 100, 67cm x 76cm,,,,,,,
Afraid of a Lady - Print Edition, SOLD, Giclee Print on Somerset Paper with Varnish, Signed and Numbered, Edition of 33, 79cm x 79cm (Framed),,,,,,
The Cure - Sherbet Green/Royal Blue/Ocean Blue , å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
USA Series - Boxer, å£2--200.00, Silkscreen with Diamond Dust , Signed Limited Edition of 100, 67cm x 76cm,,,,,,,
Debbie Harry - Face No.5 , å£600.00, Silkscreen , Signed Limited Edition of 100, 76cm x 56cm,,,,,,,
The Cure - Frigate/Chocolate/Rose Pink  , å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
USA Series - Stone and Shells, å£2--200.00, Silkscreen with Diamond Dust, Signed Limited Edition of 100, 67cm x 76cm,,,,,,,
The Cure - Neon Yellow/French Lilac/Amethyst , å£4--200.00, Silkscreen , Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
USA Series - Pacific Park, å£2--200.00, Silkscreen with Diamond Dust, Signed Limited Edition of 100, 67cm x 76cm,,,,,,,
Sonnet 57-- Fair Youth Sequence Shakespeare-- 1609, å£950.00, 126 Colour Chip Collage on Fabriano 5 Paper, Signed, Edition of 3, 52cm x 37cm (Framed),,,,,,
The Cure - Coral/Lemon Yellow/Turquoise  , å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
USA Series - Excelsior, å£2--200.00, Silkscreen with Diamond Dust, Signed Limited Edition of 100, 67cm x 76cm,,,,,,,
Birds, å£2--000.00, Silkscreen , Signed Limited Edition of 125, 59cm x 83cm,,,,,,,
Sonnet 61-- Fair Youth Sequence Shakespeare-- 1609, å£950.00, 126 Colour Chip Collage on Fabriano 5 Paper, Signed, Edition of 3, 52cm x 37cm (Framed),,,,,,
The Cure - Midnight Blue/Neon Green/Fizzy Pink , å£4--200.00, Silkscreen , Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
Sonnet 102-- Fair Youth Sequence Shakespeare-- 1609, å£950.00, 126 Colour Chip Collage on Fabriano 5 Paper, Signed, Edition of 3, 52cm x 37cm (Framed),,,,,,
The Cure - Forest Green/Turquoise/Acid Green  , å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
Mending Broken Hearts , å£1--700.00, Silkscreen with Glazes, Signed Limited Edition of 150, 58cm x 76cm,,,,,,,
The Cure - Fire Red/Sun Yellow/Fire Orange  , å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
The Cure - Caramel/Grape/Mustard  , å£4--200.00, Silkscreen, Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
The Cure - Mint Blue/Apple Green/Lemon Yellow , å£4--200.00, Silkscreen , Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
The Cure - Cream/Aubergine/Pea Green , å£4--200.00, Silkscreen , Signed Limited Edition of 15, 51cm x 72cm,,,,,,,
I Love You, å£3--650.00, Digital Print on Canvas , Signed Limited Edition of 50, 124cm x 88cm,,,,,,,
Regeneration-- Butterfly Portrait, å£3--500.00, Etching, Signed Limited Edition of 45, 39.2cm X 47.3cm,,,,,,,
Emerge-- Butterfly Portrait, å£2--700.00, Etching, Signed and numbered, Limited Edition of 45, 39.2cm X 47.3cm,,,,,,
Love, å£6--000.00, Silkscreen and Mixed Media, Signed Limited Edition of 25, 116cm x 51.5cm,,,,,,,
Hope-- Butterfly Portrait , å£3--500.00, Etching, Signed Limited Edition of 45, 39.2cm X 47.3cm,,,,,,,
Prosperity-- Butterfly Portrait, å£2--700.00, Etching, Signed Limited Edition of 45, 39.2cm X 47.3cm,,,,,,,
Tudor, POA, Perspex, Glitter, Diamond Dust &amp; Gold Leaf, Signed Limited Edition of 3, 100cm x 100cm,,,,,
Sonnet 31-- Fair Youth Sequence Shakespeare-- 1609, å£950.00, 126 Colour Chip Collage on Fabriano 5 Paper, Signed, Edition of 3, 52cm x 37cm (Framed),,,,,,
Reveal-- Butterfly Portrait, å£2--700.00, Etching, Signed Limited Edition of 45, 39.2cm X 47.3cm,,,,,,,
Emerge-- Butterfly Portrait, å£2--700.00, Etching, Signed and Numbered, Limited Edition of 45, 39.2cm x 47.3cm,,,,,,
Reveal-- Butterfly Portrait , å£2--700.00, Etching, Signed and Numbered, Limited Edition of 45, 47.3cm x 39.2cm,,,,,,
Vanitas (hand finished), å£300.00, Silkscreen Hand Finished with Acrylic Paint, Signed Limited Edition of 15, 56 x 76cm,,,,,,,
To Lure-- Butterfly Landscape, å£2--250.00, Etching, Signed and Numbered, Limited Edition of 75, 44.3cm x 41.2cm,,,,,,
To Believe-- Butterfly Landscape, å£2--250.00, Etching,  Signed and Numbered, Limited Edition of 75, 44.3cm x 41.2cm,,,,,,
To Lose-- Butterfly Landscape, å£2--950.00, Etching, Signed and Numbered, Limited Edition of 75, 41.2cm x 44.3cm ,,,,,,
To Belong-- Butterfly Landscape , å£2--950.00, Etching, Signed and Numbered, Limited Edition of 75, 41.2cm x 44.3cm ,,,,,,
To Love-- Butterfly Landscape, å£2--950.00, Etching, Signed and Numbered, Limited Edition of 75, 41.2cm x 44.3cm ,,,,,,
Diacetoxyscirpenol , POA, Spot Etching , Signed Limited Edition of 115, 111.2cm x 200.6cm,,,,,,,
Psalm: Expectans expectavi, å£4--300.00, Silkscreen Print with Glaze, Signed and Numbered, Limited Edition of 25, 45.7cm x 45.7cm,,,,,,
Psalm: Benedicam Domino , å£3--800.00, Silkscreen with Glaze, Limited Edition of 25, 45.7cm x 45.7cm,,,,,,,
Psalm: Domini est Terra, å£3--700.00, Silkscreen with Glaze, Limited Edition of 25, 74cm x 71.5cm,,,,,,,
